route_from,route_to,ride_type,ride_max_persons,hour,day_of_week,ride_waiting_time,ride_time_minutes,ride_price
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,17,1,6.0,7.983333333333333,147.06
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,17,1,5.333333333333333,7.983333333333333,35.416666666666664
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,17,1,6.0,8.316666666666666,199.1833333333333
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,17,1,1.3333333333333333,7.65,70.0
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,17,1,6.0,8.65,143.01
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,17,1,6.0,8.316666666666666,267.71
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,18,1,7.5,8.5,147.06
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,18,1,5.0,8.508333333333333,32.0
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,18,1,7.0,8.5,215.56
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,18,1,1.0,8.508333333333333,70.0
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,18,1,8.5,9.5,143.32
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,18,1,5.5,8.0,267.71
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,19,1,8.0,7.666666666666667,135.94
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,19,1,4.0,9.683333333333334,34.5
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,19,1,6.0,8.683333333333334,183.1
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,19,1,1.0,8.683333333333334,70.0
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,19,1,8.0,9.683333333333334,131.61
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,19,1,6.0,8.666666666666666,267.71
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,20,1,6.0,8.666666666666666,138.49
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,20,1,3.0,8.666666666666666,32.0
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,20,1,7.0,8.666666666666666,195.04
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,20,1,2.0,7.666666666666667,66.73
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,20,1,6.0,8.666666666666666,130.84
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,20,1,9.0,8.666666666666666,239.25
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,21,1,5.0,8.744444444444445,136.58
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,21,1,3.3333333333333335,7.411111111111111,32.0
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,21,1,4.666666666666667,8.411111111111111,192.22
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,21,1,1.6666666666666667,7.416666666666667,66.38
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,21,1,6.666666666666667,8.416666666666666,130.84
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,21,1,7.0,7.7444444444444445,234.78
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,22,1,6.0,7.666666666666667,136.58
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,22,1,4.0,7.683333333333334,32.0
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,22,1,5.0,7.683333333333334,192.22
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,22,1,1.0,7.683333333333334,95.28
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,22,1,4.0,8.683333333333334,130.84
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,22,1,6.0,6.666666666666667,335.08
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,23,1,5.0,7.616666666666666,136.58
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,23,1,3.0,7.633333333333334,36.2
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,23,1,5.0,7.633333333333334,192.22
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,23,1,2.0,6.633333333333334,93.11
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,23,1,4.0,7.633333333333334,130.84
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,23,1,5.0,6.616666666666666,234.78
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,7,2,6.0,7.7,135.95
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,7,2,4.0,7.7,32.0
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,7,2,8.0,7.7,186.21
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,7,2,2.0,6.7,65.79
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,7,2,7.0,7.7,131.32
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,7,2,7.0,7.7,236.57
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,8,2,5.5,8.008333333333333,144.83999999999995
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,8,2,5.0,8.008333333333333,29.5
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,8,2,6.0,9.008333333333333,214.265
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,8,2,3.5,6.008333333333333,66.92
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,8,2,6.5,9.508333333333333,135.62
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,8,2,4.0,7.508333333333333,266.54
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,9,2,4.0,8.683333333333334,149.5
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,9,2,4.0,7.683333333333334,47.0
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,9,2,6.0,7.683333333333334,204.01
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,9,2,1.0,7.683333333333334,67.23
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,9,2,6.0,8.683333333333334,140.46
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,9,2,4.0,8.683333333333334,266.54
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,10,2,3.0,7.666666666666667,133.25
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,10,2,2.0,7.666666666666667,29.5
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,10,2,4.0,7.666666666666667,197.77
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,10,2,1.0,7.666666666666667,67.79
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,10,2,5.0,8.666666666666666,123.5
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,10,2,5.0,8.666666666666666,266.54
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,11,2,3.0,8.683333333333334,157.18
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,11,2,3.0,7.683333333333334,32.0
Chennai Citi Centre,Chennai Lighthouse,Premier,4.0,11,2,3.0,8.683333333333334,214.95
Chennai Citi Centre,Chennai Lighthouse,Uber Auto,3.0,11,2,1.0,7.683333333333334,50.0
Chennai Citi Centre,Chennai Lighthouse,Uber Go,4.0,11,2,2.0,8.683333333333334,148.47
Chennai Citi Centre,Chennai Lighthouse,UberXL,6.0,11,2,3.0,8.683333333333334,266.54
Chennai Citi Centre,Chennai Lighthouse,Go Sedan,4.0,12,2,2.0,8.666666666666666,122.49
Chennai Citi Centre,Chennai Lighthouse,Moto,1.0,12,2,2.0,8.666666666666666,34.5
